ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
9204,1,8.869,1800.000,0.968,4.776,150.000,"LINESTRING (207328 428807, 204196 429189)",32.000,32.000,"LINESTRING (205762 428998, 204383 429126)"
6335,1,8.869,1800.000,0.965,4.776,150.000,"LINESTRING (204196 429189, 203829 429357)",32.000,31.000,"LINESTRING (204012 429273, 204383 429126)"
6329,1,8.818,1800.000,0.965,4.905,150.000,"LINESTRING (203829 429357, 203714 429410)",34.000,34.000,"LINESTRING (203772 429384, 203731 429361)"
6324,1,8.818,1800.000,0.954,4.876,150.000,"LINESTRING (203714 429410, 203171 429732)",35.000,35.000,"LINESTRING (203442 429571, 203442 429524)"
8888,1,8.775,1800.000,0.943,4.937,150.000,"LINESTRING (203171 429732, 203056 429840)",39.000,36.000,"LINESTRING (203114 429786, 202546 430282)"
8889,1,8.663,1800.000,0.920,5.053,150.000,"LINESTRING (203056 429840, 200462 431534)",41.000,40.000,"LINESTRING (201759 430687, 202108 430616)"
7086,1,8.567,1800.000,0.881,5.418,150.000,"LINESTRING (200462 431534, 200157 431643)",49.000,46.000,"LINESTRING (200310 431588, 200200 431627)"
7082,1,8.567,1392.992,1.132,4.390,150.000,"LINESTRING (200157 431643, 199848 431728)",61.000,49.000,"LINESTRING (200002 431686, 197512 432697)"
6332,1,7.797,1392.992,0.912,4.315,150.000,"LINESTRING (199848 431728, 188343 429318)",67.000,65.000,"LINESTRING (194096 430523, 196527 431775)"
6333,1,7.025,1392.992,0.975,4.464,150.000,"LINESTRING (188343 429318, 188333 429317)",105.000,98.000,"LINESTRING (188338 429318, 189327 430723)"
6334,1,7.025,1392.992,0.991,4.438,150.000,"LINESTRING (188333 429317, 187464 429386)",114.000,114.000,"LINESTRING (187898 429352, 188010 429281)"
6326,1,6.947,1392.992,1.011,4.626,150.000,"LINESTRING (187464 429386, 187356 429424)",116.000,116.000,"LINESTRING (187410 429405, 187500 429344)"
6323,1,6.864,1392.992,1.011,4.550,150.000,"LINESTRING (187356 429424, 187346 429427)",117.000,117.000,"LINESTRING (187351 429426, 187247 429378)"
6322,1,6.864,1392.992,1.011,4.550,150.000,"LINESTRING (187346 429427, 187228 429470)",117.000,117.000,"LINESTRING (187287 429448, 187247 429378)"
6321,1,6.864,1392.992,1.011,3.951,150.000,"LINESTRING (187228 429470, 187181 429487)",119.000,118.000,"LINESTRING (187204 429478, 186706 429734)"
6320,1,6.754,1392.992,0.944,4.377,150.000,"LINESTRING (187181 429487, 185289 430871)",121.000,120.000,"LINESTRING (186235 430179, 186217 430093)"
7114,1,6.376,1390.992,0.968,4.650,150.000,"LINESTRING (185289 430871, 179150 433050)",142.000,130.000,"LINESTRING (182220 431960, 181088 432449)"
7046,1,6.050,1390.992,0.956,4.379,150.000,"LINESTRING (179150 433050, 179140 433052)",148.000,144.000,"LINESTRING (179145 433051, 179544 432977)"
7045,1,5.789,1390.993,0.905,4.462,150.000,"LINESTRING (179140 433052, 173299 434332)",160.000,155.000,"LINESTRING (176220 433692, 176375 434096)"
1729,1,5.476,1390.993,0.950,4.661,150.000,"LINESTRING (173299 434332, 171725 434554)",168.000,168.000,"LINESTRING (172512 434443, 174227 434172)"
8929,1,5.249,1390.994,0.930,4.813,150.000,"LINESTRING (171725 434554, 169013 434604)",180.000,179.000,"LINESTRING (170369 434579, 170913 434565)"
8930,1,4.945,1390.995,0.913,4.808,150.000,"LINESTRING (169013 434604, 165422 434290)",188.000,188.000,"LINESTRING (167218 434447, 168544 434694)"
7021,1,4.592,1390.999,0.890,4.714,150.000,"LINESTRING (165422 434290, 162605 433396)",206.000,200.000,"LINESTRING (164014 433843, 163975 433624)"
7022,1,4.423,1391.000,0.959,4.922,150.000,"LINESTRING (162605 433396, 162595 433395)",209.000,209.000,"LINESTRING (162600 433396, 163056 433460)"
7025,1,4.327,1391.001,0.942,4.828,150.000,"LINESTRING (162595 433395, 160082 433368)",215.000,213.000,"LINESTRING (161338 433382, 161310 433449)"
7027,1,4.148,1391.003,0.971,4.581,150.000,"LINESTRING (160082 433368, 160081 433368)",219.000,218.000,"LINESTRING (160082 433368, 160237 433376)"
7032,1,4.148,1391.003,0.971,4.857,150.000,"LINESTRING (160081 433368, 159946 433324)",220.000,220.000,"LINESTRING (160014 433346, 159992 433338)"
7056,1,4.096,1390.005,0.859,4.925,150.000,"LINESTRING (159946 433324, 158962 432859)",225.000,222.000,"LINESTRING (159454 433092, 158931 432838)"
8870,1,3.901,1390.007,0.937,4.412,150.000,"LINESTRING (158962 432859, 157307 430592)",240.000,227.000,"LINESTRING (158134 431726, 156988 429490)"
8871,1,3.219,1390.015,0.849,4.605,150.000,"LINESTRING (157307 430592, 152368 423939)",243.000,241.000,"LINESTRING (154838 427266, 156665 428577)"
7363,1,2.761,1390.016,0.987,4.599,150.000,"LINESTRING (152368 423939, 152364 423940)",264.000,259.000,"LINESTRING (152366 423940, 152941 423984)"
7362,1,2.298,1389.996,0.928,4.380,150.000,"LINESTRING (152364 423940, 146332 425556)",273.000,273.000,"LINESTRING (149348 424748, 150926 425193)"
7255,1,1.937,1389.933,0.898,4.179,150.000,"LINESTRING (146332 425556, 146322 425555)",292.000,287.000,"LINESTRING (146327 425556, 146429 425568)"
7256,1,1.937,1389.933,0.898,4.179,150.000,"LINESTRING (146322 425555, 146315 425554)",292.000,292.000,"LINESTRING (146318 425554, 146429 425568)"
7257,1,1.937,1389.933,0.898,4.179,150.000,"LINESTRING (146315 425554, 146305 425552)",292.000,292.000,"LINESTRING (146310 425553, 146429 425568)"
7258,1,1.937,1389.933,0.898,4.179,150.000,"LINESTRING (146305 425552, 146280 425548)",292.000,292.000,"LINESTRING (146292 425550, 146429 425568)"
7259,1,1.937,1389.933,0.898,5.165,150.000,"LINESTRING (146280 425548, 146270 425547)",293.000,293.000,"LINESTRING (146275 425548, 146144 425509)"
7265,1,1.886,1389.925,0.848,5.512,150.000,"LINESTRING (146270 425547, 145540 425456)",295.000,294.000,"LINESTRING (145905 425502, 145628 425462)"
7273,1,1.851,1389.914,0.847,4.838,150.000,"LINESTRING (145540 425456, 145075 425340)",296.000,296.000,"LINESTRING (145308 425398, 145379 425412)"
7274,1,1.807,1389.914,0.847,4.442,150.000,"LINESTRING (145075 425340, 145070 425338)",297.000,297.000,"LINESTRING (145072 425339, 145131 425355)"
7286,1,1.807,1389.900,0.855,4.716,150.000,"LINESTRING (145070 425338, 144595 425147)",298.000,298.000,"LINESTRING (144832 425242, 144888 425277)"
7301,1,1.737,1389.886,0.836,4.601,150.000,"LINESTRING (144595 425147, 144056 424893)",302.000,300.000,"LINESTRING (144326 425020, 143888 424858)"
7310,1,1.649,1389.823,0.841,3.981,150.000,"LINESTRING (144056 424893, 142144 424676)",316.000,303.000,"LINESTRING (143100 424784, 139628 425386)"
7309,1,1.162,1389.486,0.785,4.284,150.000,"LINESTRING (142144 424676, 129800 425724)",335.000,317.000,"LINESTRING (135972 425200, 134619 426480)"
7239,1,0.801,1389.026,0.629,4.483,150.000,"LINESTRING (129800 425724, 128422 425901)",344.000,344.000,"LINESTRING (129111 425812, 132556 425975)"
7226,1,0.789,1388.981,0.596,5.221,150.000,"LINESTRING (128422 425901, 128413 425900)",357.000,357.000,"LINESTRING (128418 425900, 128764 425922)"
7227,1,0.768,1388.941,0.596,5.562,150.000,"LINESTRING (128413 425900, 126544 426095)",363.000,360.000,"LINESTRING (127478 425998, 126980 426006)"
7217,1,0.741,1388.911,0.567,5.953,150.000,"LINESTRING (126544 426095, 125665 426338)",365.000,364.000,"LINESTRING (126104 426216, 126448 426152)"
9135,1,0.734,1388.891,0.538,5.818,150.000,"LINESTRING (125665 426338, 125529 426367)",368.000,368.000,"LINESTRING (125597 426352, 125645 426345)"
9136,1,0.734,1388.877,0.545,5.530,150.000,"LINESTRING (125529 426367, 125252 426427)",369.000,369.000,"LINESTRING (125390 426397, 125376 426405)"
7187,1,0.725,1388.877,0.545,6.037,150.000,"LINESTRING (125252 426427, 124950 426491)",370.000,370.000,"LINESTRING (125101 426459, 125107 426466)"
7181,1,0.717,1388.863,0.538,5.855,150.000,"LINESTRING (124950 426491, 124608 426564)",371.000,371.000,"LINESTRING (124779 426528, 124839 426527)"
7175,1,0.717,1388.848,0.514,6.309,150.000,"LINESTRING (124608 426564, 124341 426621)",372.000,372.000,"LINESTRING (124474 426592, 124572 426584)"
7166,1,0.717,1388.848,0.514,4.979,150.000,"LINESTRING (124341 426621, 124331 426622)",373.000,373.000,"LINESTRING (124336 426622, 124305 426640)"
7164,1,0.711,1388.848,0.514,5.893,150.000,"LINESTRING (124331 426622, 123831 426713)",376.000,374.000,"LINESTRING (124081 426668, 123545 426757)"
7200,1,0.690,1388.803,0.508,6.059,150.000,"LINESTRING (123831 426713, 121766 426290)",377.000,377.000,"LINESTRING (122798 426502, 123303 426746)"
7235,1,0.675,1388.772,0.448,6.338,150.000,"LINESTRING (121766 426290, 120797 425747)",388.000,383.000,"LINESTRING (121282 426018, 120767 425716)"
7081,1,8.451,407.007,0.566,4.430,70.000,"LINESTRING (200157 431643, 196430 436078)",1.000,0.000,"LINESTRING (198294 433860, 199777 432058)"
8886,1,8.342,404.007,0.500,5.023,70.000,"LINESTRING (196430 436078, 194515 438985)",35.000,22.000,"LINESTRING (195472 437532, 194786 438173)"
8887,1,8.291,404.008,0.481,4.686,70.000,"LINESTRING (194515 438985, 193929 440310)",39.000,37.000,"LINESTRING (194222 439648, 194502 439081)"
6655,1,8.271,404.008,0.485,4.498,70.000,"LINESTRING (193929 440310, 193926 440313)",45.000,44.000,"LINESTRING (193928 440312, 193921 440338)"
6654,1,8.271,85.437,0.189,3.841,70.000,"LINESTRING (193926 440313, 193768 440421)",0.000,0.000,"LINESTRING (193847 440367, 193704 440477)"
6649,1,8.265,85.437,0.176,3.635,70.000,"LINESTRING (193768 440421, 192818 441231)",4.000,1.000,"LINESTRING (193293 440826, 193022 440987)"
6622,1,8.262,85.437,0.187,3.691,70.000,"LINESTRING (192818 441231, 192812 441239)",5.000,5.000,"LINESTRING (192815 441235, 192885 441140)"
6621,1,8.254,85.437,0.182,3.058,70.000,"LINESTRING (192812 441239, 191937 442555)",10.000,8.000,"LINESTRING (192374 441897, 192489 442080)"
6531,1,8.244,85.437,0.178,3.779,70.000,"LINESTRING (191937 442555, 191034 443070)",14.000,13.000,"LINESTRING (191486 442812, 191860 442581)"
6511,1,8.241,85.437,0.159,4.004,70.000,"LINESTRING (191034 443070, 191026 443075)",19.000,18.000,"LINESTRING (191030 443072, 190999 443098)"
6509,1,8.239,85.437,0.165,3.907,70.000,"LINESTRING (191026 443075, 190252 443561)",20.000,20.000,"LINESTRING (190639 443318, 190818 443192)"
6494,1,8.236,85.438,0.162,3.656,70.000,"LINESTRING (190252 443561, 190244 443568)",26.000,23.000,"LINESTRING (190248 443564, 189814 443902)"
6505,1,8.232,85.438,0.159,3.244,70.000,"LINESTRING (190244 443568, 188342 443248)",27.000,27.000,"LINESTRING (189293 443408, 189620 443965)"
6544,1,8.226,85.443,0.148,4.142,70.000,"LINESTRING (188342 443248, 187107 442494)",40.000,34.000,"LINESTRING (187724 442871, 187571 442478)"
6540,1,8.223,85.436,0.149,3.861,70.000,"LINESTRING (187107 442494, 187098 442498)",42.000,41.000,"LINESTRING (187102 442496, 187166 442471)"
6539,1,8.222,85.434,0.126,4.457,70.000,"LINESTRING (187098 442498, 185214 442777)",51.000,45.000,"LINESTRING (186156 442638, 185414 442848)"
6591,1,8.226,85.414,0.142,4.510,70.000,"LINESTRING (185214 442777, 183995 441864)",53.000,52.000,"LINESTRING (184604 442320, 185030 442703)"
6592,1,8.244,85.274,0.139,5.088,70.000,"LINESTRING (183995 441864, 183987 441858)",59.000,58.000,"LINESTRING (183991 441861, 184069 441927)"
6595,1,8.244,85.279,2.051,2.951,76.411,"LINESTRING (183987 441858, 183644 441685)",62.000,62.000,"LINESTRING (183816 441772, 183523 441647)"
6605,1,6.118,85.426,0.208,2.823,75.387,"LINESTRING (183644 441685, 182703 441474)",66.000,66.000,"LINESTRING (183174 441580, 182718 441479)"
6619,1,6.081,85.441,0.207,2.643,73.943,"LINESTRING (182703 441474, 181084 441551)",67.000,67.000,"LINESTRING (181894 441512, 182527 441399)"
6598,1,6.069,85.433,0.183,3.178,78.221,"LINESTRING (181084 441551, 181075 441556)",77.000,77.000,"LINESTRING (181080 441554, 180617 441841)"
6597,1,6.061,85.443,0.172,3.002,76.815,"LINESTRING (181075 441556, 178492 442128)",90.000,90.000,"LINESTRING (179784 441842, 178282 441948)"
6644,1,6.037,85.437,0.144,3.059,77.270,"LINESTRING (178492 442128, 172995 440571)",100.000,100.000,"LINESTRING (175744 441350, 176310 441478)"
6699,1,6.018,85.437,0.128,3.718,80.000,"LINESTRING (172995 440571, 168011 440492)",131.000,117.000,"LINESTRING (170503 440532, 170699 439250)"
6646,1,6.012,83.437,0.127,4.243,80.000,"LINESTRING (168011 440492, 168001 440494)",141.000,140.000,"LINESTRING (168006 440493, 168913 440207)"
6645,1,6.006,83.437,0.097,4.426,80.000,"LINESTRING (168001 440494, 157896 443799)",162.000,160.000,"LINESTRING (162948 442146, 165313 442224)"
6479,1,6.001,83.437,0.091,5.411,80.000,"LINESTRING (157896 443799, 157789 443799)",195.000,187.000,"LINESTRING (157842 443799, 158989 444152)"
6507,1,6.001,83.437,0.094,6.132,80.000,"LINESTRING (157789 443799, 156644 443170)",206.000,203.000,"LINESTRING (157216 443484, 157090 443114)"
6508,1,6.000,83.438,0.092,4.510,80.000,"LINESTRING (156644 443170, 156400 443081)",210.000,207.000,"LINESTRING (156522 443126, 156306 442871)"
6527,1,3.029,83.438,0.145,4.196,80.000,"LINESTRING (156400 443081, 155523 442674)",211.000,211.000,"LINESTRING (155962 442878, 156110 442809)"
6530,1,3.028,83.439,0.154,4.035,80.000,"LINESTRING (155523 442674, 155462 442587)",213.000,213.000,"LINESTRING (155492 442630, 155710 442710)"
8872,1,3.026,83.439,0.154,4.133,80.000,"LINESTRING (155462 442587, 155045 442401)",215.000,215.000,"LINESTRING (155254 442494, 155335 442537)"
