ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
6187,1,4.118,136.440,0.567,2.596,40.000,"LINESTRING (205968 448144, 205973 448153)",149.000,149.000,"LINESTRING (205970 448148, 205993 448182)"
6186,1,4.118,136.440,0.567,2.538,40.000,"LINESTRING (205973 448153, 206048 448304)",156.000,150.000,"LINESTRING (206010 448228, 206082 449087)"
6177,1,3.915,136.441,0.585,2.091,36.811,"LINESTRING (206048 448304, 204989 451419)",176.000,176.000,"LINESTRING (205518 449862, 204738 451059)"
5916,1,3.268,136.443,0.531,2.029,36.325,"LINESTRING (204989 451419, 209711 459180)",235.000,235.000,"LINESTRING (207350 455300, 209420 456211)"
6000,1,2.408,136.446,0.483,2.120,37.034,"LINESTRING (209711 459180, 209708 459189)",254.000,254.000,"LINESTRING (209710 459184, 211558 456435)"
5998,1,2.326,136.447,0.456,2.795,40.000,"LINESTRING (209708 459189, 209861 461963)",298.000,297.000,"LINESTRING (209784 460576, 209789 460088)"
5799,1,2.221,136.447,0.530,2.280,38.287,"LINESTRING (209861 461963, 209858 461973)",313.000,313.000,"LINESTRING (209860 461968, 209913 461817)"
5798,1,2.221,136.447,0.530,2.135,37.150,"LINESTRING (209858 461973, 209846 462004)",315.000,315.000,"LINESTRING (209852 461988, 209830 462042)"
5797,1,2.221,136.447,0.530,2.135,37.150,"LINESTRING (209846 462004, 209842 462013)",315.000,315.000,"LINESTRING (209844 462008, 209830 462042)"
1638,1,2.184,136.448,0.493,2.645,40.000,"LINESTRING (209842 462013, 209416 462880)",318.000,317.000,"LINESTRING (209629 462446, 209687 462372)"
1603,1,2.157,136.449,0.475,2.418,39.357,"LINESTRING (209416 462880, 209537 463748)",330.000,330.000,"LINESTRING (209476 463314, 209535 463718)"
5777,1,2.030,136.450,0.481,2.486,39.891,"LINESTRING (209537 463748, 210034 464734)",331.000,331.000,"LINESTRING (209786 464241, 209559 463835)"
5699,1,1.531,130.456,0.391,2.017,46.234,"LINESTRING (210034 464734, 208209 471732)",384.000,384.000,"LINESTRING (209122 468233, 207880 468369)"
5562,1,1.197,130.459,0.437,2.215,47.776,"LINESTRING (208209 471732, 208201 471738)",426.000,426.000,"LINESTRING (208205 471735, 208578 471409)"
5561,1,1.138,130.461,0.380,2.397,49.199,"LINESTRING (208201 471738, 208044 473384)",435.000,435.000,"LINESTRING (208122 472561, 207858 472187)"
5520,1,1.084,130.463,0.401,2.048,46.475,"LINESTRING (208044 473384, 207629 473727)",445.000,445.000,"LINESTRING (207836 473556, 208046 473353)"
5513,1,1.057,130.463,0.401,2.476,49.812,"LINESTRING (207629 473727, 207620 473732)",449.000,449.000,"LINESTRING (207624 473730, 207727 473703)"
5512,1,1.057,130.464,0.422,2.143,47.212,"LINESTRING (207620 473732, 207298 473903)",453.000,453.000,"LINESTRING (207459 473818, 207299 473918)"
5507,1,1.022,130.464,0.398,2.518,50.000,"LINESTRING (207298 473903, 206807 474429)",454.000,454.000,"LINESTRING (207052 474166, 207223 474009)"
5477,1,0.995,130.465,0.418,2.340,48.748,"LINESTRING (206807 474429, 206799 474434)",465.000,465.000,"LINESTRING (206803 474432, 206188 474805)"
5476,1,0.834,130.469,0.358,2.239,47.967,"LINESTRING (206799 474434, 203953 478909)",474.000,474.000,"LINESTRING (205376 476672, 205306 475381)"
