ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
9204,1,6.531,700.000,0.688,2.460,143.209,"LINESTRING (207328 428807, 204196 429189)",32.000,32.000,"LINESTRING (205762 428998, 204386 429143)"
6335,1,6.531,700.000,0.657,2.460,143.209,"LINESTRING (204196 429189, 203829 429357)",32.000,32.000,"LINESTRING (204012 429273, 204386 429143)"
6329,1,6.487,700.000,0.657,2.593,145.869,"LINESTRING (203829 429357, 203714 429410)",34.000,34.000,"LINESTRING (203772 429384, 203737 429374)"
6324,1,6.487,700.000,0.680,2.600,145.997,"LINESTRING (203714 429410, 203171 429732)",35.000,35.000,"LINESTRING (203442 429571, 203453 429541)"
8888,1,6.439,700.000,0.650,2.647,146.937,"LINESTRING (203171 429732, 203056 429840)",39.000,39.000,"LINESTRING (203114 429786, 202551 430288)"
8889,1,6.343,700.000,0.614,2.732,148.643,"LINESTRING (203056 429840, 200462 431534)",41.000,41.000,"LINESTRING (201759 430687, 202115 430627)"
7086,1,6.267,700.000,0.579,3.115,150.000,"LINESTRING (200462 431534, 200157 431643)",47.000,46.000,"LINESTRING (200310 431588, 200728 431435)"
7082,1,6.267,580.286,0.846,2.259,139.177,"LINESTRING (200157 431643, 199848 431728)",61.000,61.000,"LINESTRING (200002 431686, 197510 432703)"
6332,1,5.551,580.286,0.652,2.091,135.826,"LINESTRING (199848 431728, 188343 429318)",67.000,67.000,"LINESTRING (194096 430523, 196527 431775)"
6333,1,4.764,580.286,0.740,2.216,138.320,"LINESTRING (188343 429318, 188333 429317)",105.000,105.000,"LINESTRING (188338 429318, 189327 430723)"
6334,1,4.764,580.286,0.760,2.179,137.574,"LINESTRING (188333 429317, 187464 429386)",114.000,114.000,"LINESTRING (187898 429352, 188010 429281)"
6326,1,4.678,580.286,0.789,2.357,141.138,"LINESTRING (187464 429386, 187356 429424)",116.000,116.000,"LINESTRING (187410 429405, 187500 429344)"
6323,1,4.579,580.286,0.789,2.274,139.475,"LINESTRING (187356 429424, 187346 429427)",117.000,117.000,"LINESTRING (187351 429426, 187254 429395)"
