ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
9204,1,7.306,1020.000,0.789,3.217,150.000,"LINESTRING (207328 428807, 204196 429189)",32.000,32.000,"LINESTRING (205762 428998, 204385 429136)"
6335,1,7.306,1020.000,0.768,3.217,150.000,"LINESTRING (204196 429189, 203829 429357)",32.000,31.000,"LINESTRING (204012 429273, 204385 429136)"
6329,1,7.259,1020.000,0.768,3.348,150.000,"LINESTRING (203829 429357, 203714 429410)",34.000,34.000,"LINESTRING (203772 429384, 203734 429367)"
6324,1,7.259,1020.000,0.780,3.320,150.000,"LINESTRING (203714 429410, 203171 429732)",35.000,35.000,"LINESTRING (203442 429571, 203442 429524)"
8888,1,7.213,1020.000,0.758,3.384,150.000,"LINESTRING (203171 429732, 203056 429840)",39.000,36.000,"LINESTRING (203114 429786, 202552 430290)"
8889,1,7.111,1020.000,0.725,3.504,150.000,"LINESTRING (203056 429840, 200462 431534)",41.000,40.000,"LINESTRING (201759 430687, 202115 430627)"
7086,1,7.027,1020.000,0.692,3.880,150.000,"LINESTRING (200462 431534, 200157 431643)",47.000,46.000,"LINESTRING (200310 431588, 200726 431429)"
7082,1,7.027,830.066,0.961,2.879,150.000,"LINESTRING (200157 431643, 199848 431728)",61.000,49.000,"LINESTRING (200002 431686, 197510 432703)"
6332,1,6.287,830.066,0.758,2.802,150.000,"LINESTRING (199848 431728, 188343 429318)",67.000,65.000,"LINESTRING (194096 430523, 196527 431775)"
6333,1,5.490,830.065,0.846,2.945,150.000,"LINESTRING (188343 429318, 188333 429317)",112.000,98.000,"LINESTRING (188338 429318, 188478 429384)"
6334,1,5.490,830.065,0.862,2.907,150.000,"LINESTRING (188333 429317, 187464 429386)",114.000,114.000,"LINESTRING (187898 429352, 188010 429281)"
6326,1,5.405,830.065,0.892,3.087,150.000,"LINESTRING (187464 429386, 187356 429424)",116.000,116.000,"LINESTRING (187410 429405, 187500 429344)"
6323,1,5.310,830.065,0.892,3.006,150.000,"LINESTRING (187356 429424, 187346 429427)",117.000,117.000,"LINESTRING (187351 429426, 187247 429378)"
6322,1,5.310,830.065,0.892,3.006,150.000,"LINESTRING (187346 429427, 187228 429470)",117.000,117.000,"LINESTRING (187287 429448, 187247 429378)"
6321,1,5.310,830.065,0.892,2.393,141.869,"LINESTRING (187228 429470, 187181 429487)",119.000,119.000,"LINESTRING (187204 429478, 186706 429734)"
6320,1,5.199,830.065,0.812,2.827,150.000,"LINESTRING (187181 429487, 185289 430871)",121.000,120.000,"LINESTRING (186235 430179, 186217 430093)"
7114,1,4.821,828.064,0.834,3.090,150.000,"LINESTRING (185289 430871, 179150 433050)",142.000,130.000,"LINESTRING (182220 431960, 181088 432449)"
7046,1,4.466,828.063,0.823,2.804,150.000,"LINESTRING (179150 433050, 179140 433052)",148.000,144.000,"LINESTRING (179145 433051, 179544 432977)"
7045,1,4.170,828.062,0.799,2.851,150.000,"LINESTRING (179140 433052, 173299 434332)",160.000,155.000,"LINESTRING (176220 433692, 176375 434096)"
1729,1,3.813,828.060,0.857,3.030,150.000,"LINESTRING (173299 434332, 171725 434554)",168.000,168.000,"LINESTRING (172512 434443, 174227 434172)"
8929,1,3.565,828.058,0.821,3.139,150.000,"LINESTRING (171725 434554, 169013 434604)",180.000,179.000,"LINESTRING (170369 434579, 170913 434565)"
8930,1,3.250,828.056,0.796,3.130,150.000,"LINESTRING (169013 434604, 165422 434290)",188.000,188.000,"LINESTRING (167218 434447, 168544 434694)"
7021,1,2.894,828.052,0.787,3.024,150.000,"LINESTRING (165422 434290, 162605 433396)",206.000,200.000,"LINESTRING (164014 433843, 163975 433624)"
7022,1,2.719,828.050,0.852,3.230,150.000,"LINESTRING (162605 433396, 162595 433395)",209.000,209.000,"LINESTRING (162600 433396, 163057 433453)"
7025,1,2.626,828.049,0.836,3.134,150.000,"LINESTRING (162595 433395, 160082 433368)",215.000,213.000,"LINESTRING (161338 433382, 161310 433453)"
7027,1,2.445,828.048,0.846,2.884,150.000,"LINESTRING (160082 433368, 160081 433368)",219.000,218.000,"LINESTRING (160082 433368, 160236 433383)"
7032,1,2.445,828.048,0.846,3.161,150.000,"LINESTRING (160081 433368, 159946 433324)",220.000,220.000,"LINESTRING (160014 433346, 159991 433344)"
7056,1,2.406,787.559,0.714,3.254,150.000,"LINESTRING (159946 433324, 158962 432859)",225.000,222.000,"LINESTRING (159454 433092, 158959 432802)"
8870,1,2.253,787.557,0.762,2.821,150.000,"LINESTRING (158962 432859, 157307 430592)",240.000,227.000,"LINESTRING (158134 431726, 156966 429496)"
8871,1,1.733,787.537,0.652,3.038,150.000,"LINESTRING (157307 430592, 152368 423939)",243.000,241.000,"LINESTRING (154838 427266, 156645 428588)"
7363,1,1.412,787.480,0.781,3.200,150.000,"LINESTRING (152368 423939, 152364 423940)",264.000,259.000,"LINESTRING (152366 423940, 152941 423984)"
7362,1,1.101,787.364,0.696,3.064,150.000,"LINESTRING (152364 423940, 146332 425556)",273.000,273.000,"LINESTRING (149348 424748, 150926 425193)"
7255,1,0.901,787.165,0.627,3.062,150.000,"LINESTRING (146332 425556, 146322 425555)",292.000,287.000,"LINESTRING (146327 425556, 146429 425568)"
7256,1,0.901,787.165,0.627,3.062,150.000,"LINESTRING (146322 425555, 146315 425554)",292.000,292.000,"LINESTRING (146318 425554, 146429 425568)"
7257,1,0.901,787.165,0.627,3.062,150.000,"LINESTRING (146315 425554, 146305 425552)",292.000,292.000,"LINESTRING (146310 425553, 146429 425568)"
7258,1,0.901,787.165,0.627,3.062,150.000,"LINESTRING (146305 425552, 146280 425548)",292.000,292.000,"LINESTRING (146292 425550, 146429 425568)"
7259,1,0.901,787.165,0.627,4.064,150.000,"LINESTRING (146280 425548, 146270 425547)",293.000,293.000,"LINESTRING (146275 425548, 146144 425509)"
7265,1,0.877,787.145,0.579,4.435,150.000,"LINESTRING (146270 425547, 145540 425456)",295.000,294.000,"LINESTRING (145905 425502, 145628 425462)"
7273,1,0.862,787.120,0.592,3.772,150.000,"LINESTRING (145540 425456, 145075 425340)",296.000,296.000,"LINESTRING (145308 425398, 145379 425412)"
7274,1,0.841,787.120,0.592,3.386,150.000,"LINESTRING (145075 425340, 145070 425338)",297.000,297.000,"LINESTRING (145072 425339, 145131 425355)"
7286,1,0.841,787.087,0.597,3.670,150.000,"LINESTRING (145070 425338, 144595 425147)",298.000,298.000,"LINESTRING (144832 425242, 144888 425277)"
7301,1,0.812,787.058,0.578,3.602,150.000,"LINESTRING (144595 425147, 144056 424893)",302.000,300.000,"LINESTRING (144326 425020, 143888 424858)"
7310,1,0.776,786.934,0.580,3.197,150.000,"LINESTRING (144056 424893, 142144 424676)",316.000,303.000,"LINESTRING (143100 424784, 139628 425386)"
7309,1,0.602,786.493,0.509,3.659,150.000,"LINESTRING (142144 424676, 129800 425724)",323.000,317.000,"LINESTRING (135972 425200, 137646 425081)"
7239,1,0.496,786.018,0.377,4.059,150.000,"LINESTRING (129800 425724, 128422 425901)",344.000,344.000,"LINESTRING (129111 425812, 132556 425975)"
7226,1,0.491,785.958,0.355,4.933,150.000,"LINESTRING (128422 425901, 128413 425900)",357.000,357.000,"LINESTRING (128418 425900, 128764 425922)"
7227,1,0.484,785.901,0.354,5.305,150.000,"LINESTRING (128413 425900, 126544 426095)",363.000,360.000,"LINESTRING (127478 425998, 126980 426006)"
7217,1,0.474,785.853,0.335,5.705,150.000,"LINESTRING (126544 426095, 125665 426338)",365.000,364.000,"LINESTRING (126104 426216, 126448 426152)"
9135,1,0.472,785.820,0.318,5.582,150.000,"LINESTRING (125665 426338, 125529 426367)",368.000,368.000,"LINESTRING (125597 426352, 125645 426345)"
9136,1,0.472,785.795,0.322,5.300,150.000,"LINESTRING (125529 426367, 125252 426427)",369.000,369.000,"LINESTRING (125390 426397, 125376 426405)"
7187,1,0.468,785.795,0.322,5.809,150.000,"LINESTRING (125252 426427, 124950 426491)",370.000,370.000,"LINESTRING (125101 426459, 125107 426466)"
7181,1,0.465,785.769,0.317,5.631,150.000,"LINESTRING (124950 426491, 124608 426564)",371.000,371.000,"LINESTRING (124779 426528, 124839 426527)"
7175,1,0.465,785.740,0.302,6.089,150.000,"LINESTRING (124608 426564, 124341 426621)",372.000,372.000,"LINESTRING (124474 426592, 124572 426584)"
7166,1,0.465,785.740,0.302,4.763,150.000,"LINESTRING (124341 426621, 124331 426622)",373.000,373.000,"LINESTRING (124336 426622, 124305 426640)"
7164,1,0.463,785.740,0.302,5.686,150.000,"LINESTRING (124331 426622, 123831 426713)",376.000,374.000,"LINESTRING (124081 426668, 123545 426757)"
7200,1,0.456,785.645,0.299,5.854,150.000,"LINESTRING (123831 426713, 121766 426290)",377.000,377.000,"LINESTRING (122798 426502, 123303 426746)"
7235,1,0.450,785.566,0.262,6.163,150.000,"LINESTRING (121766 426290, 120797 425747)",388.000,383.000,"LINESTRING (121282 426018, 120767 425716)"
7081,1,6.953,189.934,0.364,2.905,70.000,"LINESTRING (200157 431643, 196430 436078)",1.000,0.000,"LINESTRING (198294 433860, 199773 432054)"
8886,1,6.894,186.934,0.327,3.585,70.000,"LINESTRING (196430 436078, 194515 438985)",30.000,22.000,"LINESTRING (195472 437532, 195599 437296)"
8887,1,6.866,186.934,0.310,3.258,70.000,"LINESTRING (194515 438985, 193929 440310)",39.000,37.000,"LINESTRING (194222 439648, 194494 439080)"
6655,1,6.856,186.934,0.308,3.090,70.000,"LINESTRING (193929 440310, 193926 440313)",45.000,44.000,"LINESTRING (193928 440312, 193914 440332)"
6654,1,6.856,18.522,0.065,2.460,67.889,"LINESTRING (193926 440313, 193768 440421)",0.000,0.000,"LINESTRING (193847 440367, 193698 440467)"
6649,1,6.856,18.522,0.059,2.339,67.143,"LINESTRING (193768 440421, 192818 441231)",3.000,3.000,"LINESTRING (193293 440826, 193177 440851)"
6622,1,6.855,18.522,0.063,2.363,67.292,"LINESTRING (192818 441231, 192812 441239)",5.000,5.000,"LINESTRING (192815 441235, 192889 441143)"
