ArcID,SeasonID,WaterLevel__m,RateOfFlow__m3_s,WaterSpeed__m_s,WaterDepth__m,Width,geometry,nrow_depth,nrow_width,mapping_to_grid
9204,1,8.135,1400.000,0.879,4.045,150.000,"LINESTRING (207328 428807, 204196 429189)",32.000,32.000,"LINESTRING (205762 428998, 204383 429126)"
6335,1,8.135,1400.000,0.869,4.045,150.000,"LINESTRING (204196 429189, 203829 429357)",32.000,31.000,"LINESTRING (204012 429273, 204383 429126)"
6329,1,8.087,1400.000,0.869,4.176,150.000,"LINESTRING (203829 429357, 203714 429410)",34.000,34.000,"LINESTRING (203772 429384, 203731 429361)"
6324,1,8.087,1400.000,0.869,4.147,150.000,"LINESTRING (203714 429410, 203171 429732)",35.000,35.000,"LINESTRING (203442 429571, 203442 429524)"
8888,1,8.042,1400.000,0.854,4.211,150.000,"LINESTRING (203171 429732, 203056 429840)",39.000,36.000,"LINESTRING (203114 429786, 202550 430287)"
8889,1,7.937,1400.000,0.826,4.329,150.000,"LINESTRING (203056 429840, 200462 431534)",41.000,40.000,"LINESTRING (201759 430687, 202110 430619)"
7086,1,7.847,1400.000,0.791,4.700,150.000,"LINESTRING (200462 431534, 200157 431643)",47.000,46.000,"LINESTRING (200310 431588, 200726 431429)"
7082,1,7.847,1120.063,1.059,3.689,150.000,"LINESTRING (200157 431643, 199848 431728)",61.000,49.000,"LINESTRING (200002 431686, 197511 432700)"
6332,1,7.092,1120.063,0.847,3.612,150.000,"LINESTRING (199848 431728, 188343 429318)",67.000,65.000,"LINESTRING (194096 430523, 196527 431775)"
6333,1,6.305,1120.064,0.923,3.754,150.000,"LINESTRING (188343 429318, 188333 429317)",105.000,98.000,"LINESTRING (188338 429318, 189327 430723)"
6334,1,6.305,1120.064,0.939,3.721,150.000,"LINESTRING (188333 429317, 187464 429386)",114.000,114.000,"LINESTRING (187898 429352, 188010 429281)"
6326,1,6.224,1120.064,0.963,3.905,150.000,"LINESTRING (187464 429386, 187356 429424)",116.000,116.000,"LINESTRING (187410 429405, 187500 429344)"
6323,1,6.135,1120.064,0.963,3.827,150.000,"LINESTRING (187356 429424, 187346 429427)",117.000,117.000,"LINESTRING (187351 429426, 187247 429378)"
6322,1,6.135,1120.064,0.963,3.827,150.000,"LINESTRING (187346 429427, 187228 429470)",117.000,117.000,"LINESTRING (187287 429448, 187247 429378)"
6321,1,6.135,1120.064,0.963,3.222,150.000,"LINESTRING (187228 429470, 187181 429487)",119.000,118.000,"LINESTRING (187204 429478, 186706 429734)"
6320,1,6.025,1120.064,0.890,3.652,150.000,"LINESTRING (187181 429487, 185289 430871)",121.000,120.000,"LINESTRING (186235 430179, 186217 430093)"
7114,1,5.646,1118.064,0.912,3.919,150.000,"LINESTRING (185289 430871, 179150 433050)",142.000,130.000,"LINESTRING (182220 431960, 181088 432449)"
